Depth_m,Beta_dB_f3150,Beta_dB_f8000
20,-0.0030271576379970015,0.0010794914669179922
50,-0.0046751697780111,-0.0011485294687229863
100,-0.013408357796829001,-0.001052907911945955
200,-0.01275849186306699,-0.0031370043479389542
300,-0.014179245337357982,-0.011426331848140014
400,-0.013218139261994,-0.00802629141918998
500,-0.01128620697649596,-0.00651166830716976
600,-0.010293350565050985,-0.005687790087600231
700,-0.009420764343775034,-0.005377523542880347
800,-0.008758763940740044,-0.004058044431050067
900,-0.008207638813320095,-0.004423548193420057
1000,-0.0077712835690799675,-0.005071701750160251
