"Pressure_dbar","Date","PhaseName","processing","Temperature_degC","Salinity_PSU","Source","st_125","st_400","st_5k","st_8k","f_63Hz","f_125Hz","f_400Hz","f_1000Hz","f_2000Hz","f_5000Hz","f_8000Hz","f_12500Hz","f_20000Hz","doxy_uncalibrated","SensorType"
"721.67","2025-02-13 11:59:14","PAR","(RW)","13.6108","38.612","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"736.62","2025-02-13 12:59:13","PAR","(RW)","13.6054","38.607","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"737.27","2025-02-13 13:59:13","PAR","(RW)","13.5863","38.604","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"740.19","2025-02-13 14:59:13","PAR","(RW)","13.5848","38.603","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"741.39","2025-02-13 15:59:13","PAR","(RW)","13.5994","38.606","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"741.03","2025-02-13 16:59:13","PAR","(RW)","13.591","38.605","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"742.02","2025-02-13 17:59:13","PAR","(RW)","13.5841","38.602","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"742.87","2025-02-13 18:59:13","PAR","(RW)","13.587","38.603","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"743.7","2025-02-13 19:59:13","PAR","(RW)","13.603","38.606","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"744.81","2025-02-13 20:59:13","PAR","(RW)","13.6186","38.61","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"742.08","2025-02-13 21:59:13","PAR","(RW)","13.6442","38.616","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"740.87","2025-02-13 22:59:13","PAR","(RW)","13.6237","38.61","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"742.98","2025-02-13 23:59:13","PAR","(RW)","13.6042","38.608","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"743.02","2025-02-14 00:59:13","PAR","(RW)","13.5989","38.608","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"744.76","2025-02-14 01:59:13","PAR","(RW)","13.5974","38.604","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"741.95","2025-02-14 02:48:40","ASC","(AM)","13.5875","38.604","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"735.17","2025-02-14 02:51:12","ASC","(AM)","13.5986","38.606","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"724.98","2025-02-14 02:52:49","ASC","(AM)","13.6012","38.607","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"715.04","2025-02-14 02:54:16","ASC","(AM)","13.6096","38.609","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"705.15","2025-02-14 02:55:43","ASC","(AM)","13.6215","38.612","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"695.02","2025-02-14 02:57:13","ASC","(AM)","13.6363","38.616","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"685.12","2025-02-14 02:58:43","ASC","(AM)","13.6413","38.618","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"675.2","2025-02-14 03:00:16","ASC","(AM)","13.6457","38.619","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"665.12","2025-02-14 03:01:52","ASC","(AM)","13.6559","38.621","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"654.89","2025-02-14 03:03:31","ASC","(AM)","13.6799","38.627","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"644.87","2025-02-14 03:05:10","ASC","(AM)","13.7","38.632","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"635.02","2025-02-14 03:06:49","ASC","(AM)","13.7224","38.637","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"625","2025-02-14 03:08:31","ASC","(AM)","13.7359","38.641","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"615.01","2025-02-14 03:10:13","ASC","(AM)","13.7513","38.644","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"604.98","2025-02-14 03:11:55","ASC","(AM)","13.7786","38.65","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"595.1","2025-02-14 03:13:37","ASC","(AM)","13.788","38.653","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"585.24","2025-02-14 03:15:22","ASC","(AM)","13.793","38.654","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"575.09","2025-02-14 03:17:13","ASC","(AM)","13.8069","38.657","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"565.01","2025-02-14 03:19:04","ASC","(AM)","13.8174","38.66","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"555.16","2025-02-14 03:20:56","ASC","(AM)","13.8346","38.663","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"545.18","2025-02-14 03:22:53","ASC","(AM)","13.8535","38.668","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"535.11","2025-02-14 03:24:52","ASC","(AM)","13.8674","38.671","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
"524.93","2025-02-14 03:26:53","ASC","(AM)","13.8772","38.673","CTD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sbe41"
