datetime,U_DYFAMED,datenum,lat,lon
2025-02-01 00:00:00,10.1,20120.0,43.38,7.83
2025-02-01 01:00:00,11.3,20120.041666666668,43.38,7.83
2025-02-01 02:00:00,11.6,20120.083333333332,43.38,7.83
2025-02-01 03:00:00,12.0,20120.125,43.38,7.83
2025-02-01 04:00:00,11.5,20120.166666666668,43.38,7.83
2025-02-01 05:00:00,11.5,20120.208333333332,43.38,7.83
2025-02-01 06:00:00,10.3,20120.25,43.38,7.83
2025-02-01 07:00:00,11.2,20120.291666666668,43.38,7.83
2025-02-01 08:00:00,12.6,20120.333333333332,43.38,7.83
2025-02-01 09:00:00,12.3,20120.375,43.38,7.83
2025-02-01 10:00:00,12.2,20120.416666666668,43.38,7.83
2025-02-01 11:00:00,12.3,20120.458333333332,43.38,7.83
2025-02-01 12:00:00,13.6,20120.5,43.38,7.83
2025-02-01 13:00:00,12.7,20120.541666666668,43.38,7.83
2025-02-01 14:00:00,13.4,20120.583333333332,43.38,7.83
2025-02-01 15:00:00,13.9,20120.625,43.38,7.83
2025-02-01 16:00:00,12.1,20120.666666666668,43.38,7.83
2025-02-01 17:00:00,11.6,20120.708333333332,43.38,7.83
2025-02-01 18:00:00,12.8,20120.75,43.38,7.83
2025-02-01 19:00:00,11.6,20120.791666666668,43.38,7.83
2025-02-01 20:00:00,11.6,20120.833333333332,43.38,7.83
2025-02-01 22:00:00,12.2,20120.916666666668,43.38,7.83
2025-02-01 23:00:00,11.1,20120.958333333332,43.38,7.83
2025-02-02 00:00:00,12.3,20121.0,43.38,7.83
2025-02-02 01:00:00,12.6,20121.041666666668,43.38,7.83
2025-02-02 02:00:00,11.2,20121.083333333332,43.38,7.83
2025-02-02 03:00:00,10.6,20121.125,43.38,7.83
2025-02-02 04:00:00,11.2,20121.166666666668,43.38,7.83
2025-02-02 05:00:00,12.5,20121.208333333332,43.38,7.83
2025-02-02 06:00:00,12.5,20121.25,43.38,7.83
2025-02-02 07:00:00,12.2,20121.291666666668,43.38,7.83
2025-02-02 08:00:00,11.5,20121.333333333332,43.38,7.83
2025-02-02 09:00:00,11.9,20121.375,43.38,7.83
2025-02-02 10:00:00,12.2,20121.416666666668,43.38,7.83
