Depth_m,Beta_dB_f3150,Beta_dB_f8000
20,0.0154588846298791-0.0196332302437814i,0.101753215687152-0.010618028491932i
50,0.0525648052112488-0.00887585930354078i,0.249518910039191-0.0027122274825834i
100,0.109801798340359-0.0129816185162874i,0.493976230106188-0.00490949817089604i
200,0.261094083166907-0.00462275684470641i,0.962305453995517-0.00117072149369321i
300,0.399323426254358-0.000676269974774307i,1.39395725648503-8.91015469882008e-05i
400,0.535373762850716+0i,1.81136888195139+0i
500,0.670923100011389+0i,2.21238170027482+0i
600,0.804264548156611+0i,2.59946772432382+0i
700,0.935509235282911+0i,2.97192544411744+0i
800,1.06422964445597+0i,3.33043543655405+0i
900,1.19036747202797+0i,3.6743439964184+0i
1000,1.31405816088942+0i,4.0045813961502+0i
