Depth_m,Beta_dB_f3150,Beta_dB_f8000
20,0.0184860422678761-0.009579036880011i,0.100673724220234-0.00483394790491407i
50,0.0572399749892599-0.00588247472406628i,0.250667439507914-0.00218303890167737i
100,0.123210156137188-0.00658537066068135i,0.495029138018134-0.00219132244541996i
200,0.273852575029974-0.000728437451801694i,0.965442458343456-9.89404842471527e-05i
300,0.413502671591716-0.000350358855118248i,1.40538358833317-4.15021778865164e-05i
400,0.54859190211271+0i,1.81939517337058+0i
500,0.682209306987885+0i,2.21889336858199+0i
600,0.814557898721662+0i,2.60515551441142+0i
700,0.944929999626686+0i,2.97730296766032+0i
800,1.07298840839671+0i,3.3344934809851+0i
900,1.19857511084129+0i,3.67876754461182+0i
1000,1.3218294444585+0i,4.00965309790036+0i
